timestamp,norm_min_cpu,norm_max_cpu,norm_avg
1/1/2017 8:50,0.0828,0.1448,0.1138
1/1/2017 8:55,0.0843,0.1634,0.1238
1/1/2017 9:00,0.0945,0.1625,0.1285
1/1/2017 9:05,0.1149,0.1611,0.1380
1/1/2017 9:10,0.0746,0.1745,0.1246
1/1/2017 9:15,0.0711,0.1569,0.1140
1/1/2017 9:20,0.0689,0.1473,0.1081
1/1/2017 9:25,0.0853,0.1979,0.1416
1/1/2017 9:30,0.1068,0.1823,0.1445
1/1/2017 9:35,0.0995,0.1727,0.1361
1/1/2017 9:40,0.0984,0.1726,0.1355
1/1/2017 9:45,0.1073,0.1715,0.1394
1/1/2017 9:50,0.1077,0.1790,0.1433
1/1/2017 9:55,0.1168,0.1962,0.1565
1/1/2017 10:00,0.1171,0.1994,0.1582
1/1/2017 10:05,0.1121,0.2095,0.1608
1/1/2017 10:10,0.1162,0.2119,0.1641
1/1/2017 10:15,0.1087,0.2013,0.1550
1/1/2017 10:20,0.1044,0.1927,0.1485
1/1/2017 10:25,0.1207,0.2385,0.1796
1/1/2017 10:30,0.1195,0.2046,0.1620
1/1/2017 10:35,0.1150,0.2088,0.1619
1/1/2017 10:40,0.1607,0.2170,0.1889
1/1/2017 10:45,0.1672,0.2234,0.1953
1/1/2017 10:50,0.1635,0.2108,0.1871
1/1/2017 10:55,0.1298,0.2171,0.1735
1/1/2017 11:00,0.1266,0.1953,0.1610
1/1/2017 11:05,0.1087,0.1996,0.1541
1/1/2017 11:10,0.1360,0.2111,0.1735
1/1/2017 11:15,0.1306,0.2004,0.1655
1/1/2017 11:20,0.1219,0.1931,0.1575
1/1/2017 11:25,0.1207,0.2361,0.1784
1/1/2017 11:30,0.1575,0.2231,0.1903
1/1/2017 11:35,0.1338,0.2210,0.1774
1/1/2017 11:40,0.1512,0.2246,0.1879
1/1/2017 11:45,0.1562,0.2261,0.1912
1/1/2017 11:50,0.1627,0.2270,0.1948
1/1/2017 11:55,0.1481,0.2303,0.1892
1/1/2017 12:00,0.1537,0.2055,0.1796
1/1/2017 12:05,0.1384,0.2119,0.1751
1/1/2017 12:10,0.1585,0.2296,0.1941
1/1/2017 12:15,0.1335,0.2215,0.1775
1/1/2017 12:20,0.1403,0.2276,0.1840
1/1/2017 12:25,0.1493,0.2708,0.2101
1/1/2017 12:30,0.1726,0.2441,0.2083
1/1/2017 12:35,0.1514,0.2379,0.1946
1/1/2017 12:40,0.1676,0.2365,0.2021
1/1/2017 12:45,0.1534,0.2360,0.1947
1/1/2017 12:50,0.1673,0.2470,0.2072
1/1/2017 12:55,0.1954,0.2647,0.2300
1/1/2017 13:00,0.1850,0.2421,0.2135
1/1/2017 13:05,0.1582,0.2334,0.1958
1/1/2017 13:10,0.1513,0.2332,0.1923
1/1/2017 13:15,0.1381,0.2297,0.1839
1/1/2017 13:20,0.1483,0.2276,0.1880
1/1/2017 13:25,0.1491,0.2693,0.2092
1/1/2017 13:30,0.1534,0.2506,0.2020
1/1/2017 13:35,0.1647,0.2412,0.2030
1/1/2017 13:40,0.1677,0.2459,0.2068
1/1/2017 13:45,0.1603,0.2367,0.1985
1/1/2017 13:50,0.1584,0.2433,0.2008
1/1/2017 13:55,0.1729,0.2738,0.2234
1/1/2017 14:00,0.1642,0.2537,0.2090
1/1/2017 14:05,0.1586,0.2304,0.1945
1/1/2017 14:10,0.1512,0.2466,0.1989
1/1/2017 14:15,0.1593,0.2395,0.1994
1/1/2017 14:20,0.1495,0.2421,0.1958
1/1/2017 14:25,0.1684,0.3420,0.2552
1/1/2017 14:30,0.1759,0.2659,0.2209
1/1/2017 14:35,0.1655,0.2562,0.2109
1/1/2017 14:40,0.1733,0.2805,0.2269
1/1/2017 14:45,0.1766,0.2693,0.2229
1/1/2017 14:50,0.1856,0.2728,0.2292
1/1/2017 14:55,0.1906,0.3061,0.2484
1/1/2017 15:00,0.1919,0.2793,0.2356
1/1/2017 15:05,0.2005,0.2783,0.2394
1/1/2017 15:10,0.1782,0.2812,0.2297
1/1/2017 15:15,0.1746,0.2745,0.2245
1/1/2017 15:20,0.1764,0.2744,0.2254
1/1/2017 15:25,0.2321,0.3470,0.2895
1/1/2017 15:30,0.2453,0.3157,0.2805
1/1/2017 15:35,0.1962,0.3044,0.2503
1/1/2017 15:40,0.2002,0.2999,0.2500
1/1/2017 15:45,0.1984,0.2861,0.2423
1/1/2017 15:50,0.1956,0.2707,0.2331
1/1/2017 15:55,0.1993,0.2905,0.2449
